Signal Legend:

Key        Signal Name

0        = LED_matrix:matrix_5x5|iClk
1        = LED_matrix:matrix_5x5|iRow[4..0]
2        = LED_matrix:matrix_5x5|iCol[4..0]
3        = LED_matrix:matrix_5x5|iRst_n
4        = LED_matrix:matrix_5x5|LED_status[24..20]
5        = LED_matrix:matrix_5x5|LED_status[19..15]
6        = LED_matrix:matrix_5x5|LED_status[14..10]
7        = LED_matrix:matrix_5x5|LED_status[9..5]
8        = LED_matrix:matrix_5x5|LED_status[4..0]

Data Table:

Signals-> 0 1      2      3 4      5      6      7      8      

sample

-45       00000b 11111b 00011b 00000b 00000b 00000b 00000b 
-44       00000b 11111b 00011b 00000b 00000b 00000b 00000b 
-43       00000b 11111b 00011b 00000b 00000b 00000b 00000b 
-42       00000b 11111b 00011b 00000b 00000b 00000b 00000b 
-41       00000b 11111b 00011b 00000b 00000b 00000b 00000b 
-40       00000b 11111b 00011b 00000b 00000b 00000b 00000b 
-39       00000b 11111b 00011b 00000b 00000b 00000b 00000b 
-38       00000b 11111b 00011b 00000b 00000b 00000b 00000b 
-37       00000b 11111b 00011b 00000b 00000b 00000b 00000b 
-36       00000b 11111b 00011b 00000b 00000b 00000b 00000b 
-35       00000b 11111b 00011b 00000b 00000b 00000b 00000b 
-34       00000b 11111b 00011b 00000b 00000b 00000b 00000b 
-33       00000b 11111b 00011b 00000b 00000b 00000b 00000b 
-32       00000b 11111b 00011b 00000b 00000b 00000b 00000b 
-31       00000b 11111b 00011b 00000b 00000b 00000b 00000b 
-30       00000b 11111b 00011b 00000b 00000b 00000b 00000b 
-29       00000b 11111b 00011b 00000b 00000b 00000b 00000b 
-28       00000b 11111b 00011b 00000b 00000b 00000b 00000b 
-27       00000b 11111b 00011b 00000b 00000b 00000b 00000b 
-26       00000b 11111b 00011b 00000b 00000b 00000b 00000b 
-25       00000b 11111b 00011b 00000b 00000b 00000b 00000b 
-24       00000b 11111b 00011b 00000b 00000b 00000b 00000b 
-23       00000b 11111b 00011b 00000b 00000b 00000b 00000b 
-22       00000b 11111b 00011b 00000b 00000b 00000b 00000b 
-21       00000b 11111b 00011b 00000b 00000b 00000b 00000b 
-20       00000b 11111b 00011b 00000b 00000b 00000b 00000b 
-19       00000b 11111b 00011b 00000b 00000b 00000b 00000b 
-18       00000b 11111b 00011b 00000b 00000b 00000b 00000b 
-17       00000b 11111b 00011b 00000b 00000b 00000b 00000b 
-16       00000b 11111b 00011b 00000b 00000b 00000b 00000b 
-15       00000b 11111b 00011b 00000b 00000b 00000b 00000b 
-14       00000b 11111b 00011b 00000b 00000b 00000b 00000b 
-13       00000b 11111b 00011b 00000b 00000b 00000b 00000b 
-12       00000b 11111b 00011b 00000b 00000b 00000b 00000b 
-11       00000b 11111b 00011b 00000b 00000b 00000b 00000b 
-10       00000b 11111b 00011b 00000b 00000b 00000b 00000b 
-9        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
-8        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
-7        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
-6        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
-5        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
-4        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
-3        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
-2        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
-1        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
0         00000b 11111b 00011b 00000b 00000b 00000b 00000b 
1         00000b 11111b 00011b 00000b 00000b 00000b 00000b 
2         00000b 11111b 00011b 00000b 00000b 00000b 00000b 
3         00000b 11111b 00011b 00000b 00000b 00000b 00000b 
4         00000b 11111b 00011b 00000b 00000b 00000b 00000b 
5         00000b 11111b 00011b 00000b 00000b 00000b 00000b 
6         00000b 11111b 00011b 00000b 00000b 00000b 00000b 
7         00000b 11111b 00011b 00000b 00000b 00000b 00000b 
8         00000b 11111b 00011b 00000b 00000b 00000b 00000b 
9         00000b 11111b 00011b 00000b 00000b 00000b 00000b 
10        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
11        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
12        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
13        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
14        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
15        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
16        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
17        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
18        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
19        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
20        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
21        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
22        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
23        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
24        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
25        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
26        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
27        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
28        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
29        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
30        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
31        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
32        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
33        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
34        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
35        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
36        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
37        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
38        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
39        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
40        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
41        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
42        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
43        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
44        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
45        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
46        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
47        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
48        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
49        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
50        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
51        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
52        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
53        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
54        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
55        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
56        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
57        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
58        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
59        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
60        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
61        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
62        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
63        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
64        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
65        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
66        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
67        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
68        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
69        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
70        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
71        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
72        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
73        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
74        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
75        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
76        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
77        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
78        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
79        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
80        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
81        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
82        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
83        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
84        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
85        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
86        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
87        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
88        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
89        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
90        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
91        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
92        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
93        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
94        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
95        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
96        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
97        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
98        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
99        00000b 11111b 00011b 00000b 00000b 00000b 00000b 
100       00000b 11111b 00011b 00000b 00000b 00000b 00000b 
101       00000b 11111b 00011b 00000b 00000b 00000b 00000b 
102       00000b 11111b 00011b 00000b 00000b 00000b 00000b 
103       00000b 11111b 00011b 00000b 00000b 00000b 00000b 
104       00000b 11111b 00011b 00000b 00000b 00000b 00000b 
105       00000b 11111b 00011b 00000b 00000b 00000b 00000b 
106       00000b 11111b 00011b 00000b 00000b 00000b 00000b 
107       00000b 11111b 00011b 00000b 00000b 00000b 00000b 
108       00000b 11111b 00011b 00000b 00000b 00000b 00000b 
109       00000b 11111b 00011b 00000b 00000b 00000b 00000b 
110       00000b 11111b 00011b 00000b 00000b 00000b 00000b 
111       00000b 11111b 00011b 00000b 00000b 00000b 00000b 
112       00000b 11111b 00011b 00000b 00000b 00000b 00000b 
113       00000b 11111b 00011b 00000b 00000b 00000b 00000b 
114       00000b 11111b 00011b 00000b 00000b 00000b 00000b 
